sent,action,ob0,role0,ob1,role1,ob2,role2,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38
the yellow tower roll the blue cone to the white sphere,roll,blue Cone,theme ,white Sphere,recipient ,yellow Tower,agent ,0.0000,0.8729,0.3191,0.0000,0.0000,0.3992,0.0000,0.0000,0.0000,0.0000,0.2987,0.9202,0.3466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9503,0.0000,0.0000,0.9631,0.0000,0.9926,0.0000,0.9948,0.0214,0.9069,0.3117,0.0000,0.0000,0.1800,0.0000,0.0000,0.8304,0.3299,0.3437
the blue cube throw the green cone to the grey sphere,throw,green Cone,theme ,blue Cube,agent ,grey Sphere,recipient ,0.0000,0.4811,0.9150,0.0000,0.0000,0.4453,0.0000,0.0000,0.0000,0.0000,0.7695,0.2930,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9171,0.7952,0.0000,0.0000,0.5526,0.8159,0.9996,0.0000,0.9948,0.9483,0.0216,0.6323,0.0000,0.0000,0.6039,0.0000,0.0000,0.1000,0.3499,0.3370
the blue cylinder roll the red tower,roll,white Sphere, ,red Tower,theme ,blue Cylinder,agent ,0.0000,0.5685,0.3921,0.0000,0.0000,0.3293,0.0000,0.0000,0.0000,0.0000,1.0000,0.9110,0.2987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9609,0.4469,0.0000,0.6074,0.0000,0.6855,0.0000,0.0191,0.9953,0.9070,0.0000,0.2411,0.0000,0.0000,0.1792,0.0000,0.1000,0.7686,0.3383
the grey cone flip,flip,grey Cone,agent ,green Sphere, ,red Dome, ,0.0000,0.6590,0.1698,0.0000,0.0000,0.4915,0.0000,0.0000,0.0000,0.0000,0.1030,0.2994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3322,0.0000,0.9857,0.0792,0.0191,0.7855,0.0000,0.0000,0.7047,0.0000,0.0000,0.8486,0.1000,0.1000
the grey cone hop,hop,grey Cone,agent ,blue Cylinder, ,red Tower, ,0.0000,0.5381,0.1330,0.0000,0.0000,0.4937,0.0000,0.0000,0.0000,0.0000,0.0973,0.0000,0.2439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.9915,0.0783,0.0204,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
the red cone give the green tower to the yellow cube,give,red Cone,agent ,green Tower,theme ,yellow Cube,recipient ,0.0000,0.8163,0.8001,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.6005,0.9732,0.7859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1832,0.0749,0.7414,0.0000,0.7952,0.9999,0.7958,0.0000,0.9732,0.9961,0.9470,0.0000,0.0687,0.0000,0.0000,0.0000,0.0000,0.3563,0.1000,0.3414
the grey cylinder give the red tower to the blue sphere,give,red Tower,theme ,grey Cylinder,agent ,blue Sphere,recipient ,0.0000,0.8617,0.9150,0.0000,0.0000,0.8002,0.0000,0.0000,0.0000,0.0000,0.7597,1.0000,0.3659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8250,0.7952,0.0000,0.0000,0.4888,0.7964,0.9999,0.0000,0.9945,0.9391,0.9778,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3477,0.3530
the white cone throw the yellow cube to the grey dome,throw,white Cone,agent ,yellow Cube,theme ,grey Dome,recipient ,0.0000,0.5200,0.4460,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.3567,0.0000,0.7630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6065,0.9710,0.0000,0.7952,0.9983,0.8192,0.0000,0.9436,0.9929,0.0215,0.0000,0.6323,0.0000,0.0000,0.6039,0.0000,0.3555,0.1000,0.3364
the green cylinder spin,spin,green Cylinder,agent ,red Sphere, ,blue Cone, ,0.0000,0.2134,0.7113,0.0000,0.0000,0.5021,0.0000,0.0000,0.0000,0.0000,0.3000,0.0975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0763,0.0694,0.1813,0.0000,0.0000,0.1882,0.0802,0.0000,0.0215,0.0212,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9894,0.1000,0.1000
the green dome flip,flip,yellow Cube, ,green Dome,agent ,red Cone, ,0.0000,0.7524,0.4932,0.0000,0.0000,0.2707,0.0000,0.0000,0.0000,0.0000,0.3156,0.0000,0.0968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0626,0.0000,0.0000,0.0000,0.0000,0.0733,0.3005,0.0000,0.0787,0.9857,0.0200,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8486,0.1000
the white cube give the blue sphere to the yellow tower,give,blue Sphere,theme ,white Cube,agent ,yellow Tower,recipient ,0.0000,0.8113,0.9150,0.0000,0.0000,0.8010,0.0000,0.0000,0.0000,0.0000,0.7697,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7402,0.7952,0.0000,0.0000,0.4372,0.7941,0.9999,0.0000,0.9949,0.9487,0.9741,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3578,0.3321
the yellow dome roll the grey cube to the blue sphere,roll,blue Sphere,recipient ,grey Cube,theme ,yellow Dome,agent ,0.0000,0.9075,0.3799,0.0000,0.0000,0.4554,0.0000,0.0000,0.0000,0.0000,1.0000,0.9352,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4448,0.9871,0.6856,0.0000,0.9623,0.9918,0.0000,0.0000,0.4769,0.9877,0.9077,0.0000,0.2410,0.0000,0.0000,0.1792,0.0000,0.3516,0.8980,0.3471
the grey cylinder kick the blue cube to the yellow tower,kick,yellow Tower,recipient ,grey Cylinder,agent ,blue Cube,theme ,0.0000,0.4012,0.9149,0.0000,0.0000,0.4863,0.0000,0.0000,0.0000,0.0000,0.9238,0.9903,0.2994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9957,0.2244,0.9992,0.0000,0.0000,0.9983,0.9956,0.0000,0.0217,0.9069,0.9751,0.0000,0.0000,0.6083,0.0000,0.0000,0.5707,0.3447,0.3396,0.1000
the blue tower throw the grey cone to the green cylinder,throw,green Cylinder,recipient ,grey Cone,theme ,blue Tower,agent ,0.0000,0.9150,0.4429,0.0000,0.0000,0.5108,0.0000,0.0000,0.0000,0.0000,1.0000,0.9576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8187,0.9984,0.7952,0.0000,0.9543,0.4917,0.0000,0.0000,0.0198,0.9950,0.9438,0.0000,0.6323,0.0000,0.0000,0.6039,0.0000,0.3361,0.1000,0.3511
the yellow cube flip,flip,green Sphere, ,blue Tower, ,yellow Cube,agent ,0.0000,0.5165,0.2631,0.0000,0.0000,0.7286,0.0000,0.0000,0.0000,0.0000,0.2994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3055,0.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0213,0.0820,0.9857,0.0000,0.0000,0.7855,0.0000,0.0000,0.7047,0.1000,0.1000,0.8486
the green sphere roll the white cylinder to the yellow tower,roll,green Sphere,agent ,yellow Tower,recipient ,white Cylinder,theme ,0.0000,0.3915,0.4628,0.0000,0.0000,0.9036,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9992,0.0000,0.9665,0.0000,0.0000,0.9005,0.5925,0.0000,0.9162,0.4778,0.9768,0.0000,0.0000,0.1637,0.0000,0.0000,0.1797,0.3484,0.3384,0.9759
the grey tower spin,spin,grey Tower,agent ,yellow Cube, ,white Cone, ,0.0000,0.6916,0.2019,0.0000,0.0000,0.5103,0.0000,0.0000,0.0000,0.0000,0.1040,0.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1431,0.0000,0.0195,0.0812,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9849,0.1000,0.1000
the blue tower throw the white sphere to the green dome,throw,white Sphere,theme ,blue Tower,agent ,green Dome,recipient ,0.0000,0.4791,0.9150,0.0000,0.0000,0.4436,0.0000,0.0000,0.0000,0.0000,0.7698,0.2932,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9170,0.7952,0.0000,0.0000,0.5514,0.8159,1.0000,0.0000,0.9949,0.9482,0.0194,0.6323,0.0000,0.0000,0.6053,0.0000,0.0000,0.1000,0.3458,0.3356
the yellow cube kick the red dome to the green cone,kick,yellow Cube,agent ,green Cone,recipient ,red Dome,theme ,0.0000,0.3957,0.4720,0.0000,0.0000,0.9237,0.0000,0.0000,0.0000,0.0000,0.2994,0.9665,0.9533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9956,0.0327,0.9795,0.0000,0.0000,0.9797,0.9971,0.0000,0.9221,0.2060,0.9736,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.3285,0.3530,0.1000
the grey cone hop,hop,grey Cone,agent ,green Cylinder, ,white Tower, ,0.0000,0.4601,0.0379,0.0000,0.0000,0.5035,0.0000,0.0000,0.0000,0.0000,0.0927,0.2994,0.2981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7894,0.5573,0.0000,0.0000,0.3038,0.0000,0.0000,0.0000,0.9915,0.0794,0.0213,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
the red cube give the green cylinder to the blue cone,give,blue Cone,recipient ,red Cube,agent ,green Cylinder,theme ,0.0000,0.8031,0.9150,0.0000,0.0000,0.7672,0.0000,0.0000,0.0000,0.0000,0.9892,0.9274,0.9733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9999,0.7943,0.0352,0.0000,0.1785,0.7951,0.7856,0.0000,0.9473,0.9736,0.9962,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3519,0.3344,0.1000
the green cone hop,hop,red Dome, ,green Cone,agent ,white Cylinder, ,0.0000,0.5440,0.4989,0.0000,0.0000,0.9209,0.0000,0.0000,0.0000,0.0000,1.0000,0.2966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8753,0.0000,0.2905,0.0000,0.1622,0.2392,0.0000,0.0000,0.0185,0.9919,0.0811,0.0000,0.8203,0.0000,0.0000,0.7214,0.0000,0.1000,0.1000,0.1228
the green cylinder hop,hop,grey Cone, ,white Tower, ,green Cylinder,agent ,0.0000,0.4965,0.5411,0.0000,0.0000,0.0387,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1499,0.0000,0.0000,0.0000,0.0000,0.0899,0.1213,0.0000,0.0798,0.0195,0.9841,0.0000,0.0000,0.6083,0.0000,0.0000,0.6052,0.1000,0.1000,0.1000
the red cone kick the green tower to the yellow cube,kick,yellow Cube,recipient ,red Cone,agent ,green Tower,theme ,0.0000,0.3891,0.9158,0.0000,0.0000,0.4733,0.0000,0.0000,0.0000,0.0000,0.9395,0.9901,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9772,0.2194,0.9956,0.0000,0.0000,0.9992,0.9778,0.0000,0.0181,0.9076,0.9722,0.0000,0.0000,0.6083,0.0000,0.0000,0.5707,0.3542,0.3415,0.1000
the red sphere roll the blue cylinder to the white cube,roll,white Cube,recipient ,blue Cylinder,theme ,red Sphere,agent ,0.0000,0.8937,0.3986,0.0000,0.0000,0.4948,0.0000,0.0000,0.0000,0.0000,0.7917,0.9482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9818,0.9844,0.7933,0.0000,0.9428,0.9997,0.0000,0.0000,0.3552,0.9910,0.9280,0.0000,0.3118,0.0000,0.0000,0.2553,0.0000,0.3547,0.8666,0.3360
the yellow cylinder kick the blue tower to the green dome,kick,yellow Cylinder,agent ,green Dome,recipient ,blue Tower,theme ,0.0000,0.4053,0.4834,0.0000,0.0000,0.9219,0.0000,0.0000,0.0000,0.0000,0.2996,0.9960,0.9564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9952,0.0622,0.9758,0.0000,0.0000,0.9765,1.0000,0.0000,0.9229,0.0205,0.9751,0.0000,0.0000,0.6083,0.0000,0.0000,0.5707,0.3463,0.3349,0.1000
the blue tower spin,spin,red Cylinder, ,white Cone, ,blue Tower,agent ,0.0000,0.5041,0.2020,0.0000,0.0000,0.6978,0.0000,0.0000,0.0000,0.0000,0.2965,0.2989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0051,0.2506,0.0000,0.0013,0.2529,0.2567,0.0000,0.0219,0.0789,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.9827
the yellow cone kick the blue cylinder to the grey tower,kick,yellow Cone,agent ,grey Tower,recipient ,blue Cylinder,theme ,0.0000,0.4014,0.4877,0.0000,0.0000,0.9138,0.0000,0.0000,0.0000,0.0000,0.2999,0.9656,0.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9955,0.0000,0.9783,0.0000,0.2919,0.9797,0.9966,0.0000,0.9342,0.0183,0.9772,0.0000,0.0000,0.6083,0.0000,0.0000,0.5707,0.3453,0.3392,0.1000
the red sphere give the blue dome to the white cube,give,blue Dome,theme ,red Sphere,agent ,white Cube,recipient ,0.0000,0.8137,0.9150,0.0000,0.0000,0.8011,0.0000,0.0000,0.0000,0.0000,0.7666,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7399,0.7952,0.0000,0.0000,0.4563,0.7940,0.9999,0.0000,0.9950,0.9442,0.9766,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3409,0.3520
the grey tower throw the yellow cone,throw,yellow Cone,theme ,green Cube, ,grey Tower,agent ,0.0000,0.7633,0.4841,0.0000,0.0000,0.4068,0.0000,0.0000,0.0000,0.0000,0.0000,0.7633,0.1985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9981,0.0757,0.0000,0.7388,0.0000,0.2896,0.0000,0.9825,0.0191,0.9443,0.6323,0.0000,0.0000,0.7084,0.0000,0.0000,0.0000,0.1000,0.3572
the yellow sphere spin,spin,red Cylinder, ,yellow Sphere,agent ,grey Cone, ,0.0000,0.6875,0.5121,0.0000,0.0000,0.1998,0.0000,0.0000,0.0000,0.0000,0.0000,0.2991,0.1064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,0.0412,0.0000,0.0581,0.0000,0.0000,0.0000,0.0809,0.0185,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.9980,0.1000
the yellow cylinder throw the blue cone,throw,yellow Cylinder,agent ,grey Tower, ,blue Cone,theme ,0.0000,0.4273,0.4882,0.0000,0.0000,0.8139,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1282,0.0000,0.7946,0.0000,0.1080,0.9977,0.0000,0.0000,0.9446,0.0193,0.9827,0.0000,0.0000,0.6323,0.0000,0.0000,0.7084,0.3459,0.1000,0.0000
the yellow cone give the white tower to the green dome,give,green Dome,recipient ,yellow Cone,agent ,white Tower,theme ,0.0000,0.8014,0.9150,0.0000,0.0000,0.7789,0.0000,0.0000,0.0000,0.0000,0.9971,1.0000,0.9282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9998,0.7975,0.0000,0.0000,0.4822,0.7952,0.7656,0.0000,0.9152,0.9797,0.9964,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3487,0.3380,0.1000
the grey cone spin,spin,grey Cone,agent ,green Sphere, ,blue Cube, ,0.0000,0.7003,0.1961,0.0000,0.0000,0.4957,0.0000,0.0000,0.0000,0.0000,0.1022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6112,0.0000,0.0000,0.6254,0.3678,0.0000,0.0199,0.0798,0.0193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.1000,0.1000
the yellow cone kick the red cube to the white tower,kick,yellow Cone,agent ,white Tower,recipient ,red Cube,theme ,0.0000,0.4105,0.4870,0.0000,0.0000,0.9234,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9998,0.0000,0.9988,0.0000,0.0301,0.9988,1.0000,0.0000,0.9218,0.0213,0.9752,0.0000,0.0000,0.6083,0.0000,0.0000,0.5707,0.3452,0.3409,0.1000
the green cylinder throw the white dome to the grey tower,throw,grey Tower,recipient ,white Dome,theme ,green Cylinder,agent ,0.0000,0.9150,0.4432,0.0000,0.0000,0.4687,0.0000,0.0000,0.0000,0.0000,1.0000,0.9733,0.2943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8160,0.9996,0.7951,0.0000,0.9131,0.4652,0.0000,0.0000,0.0200,0.9953,0.9485,0.0000,0.6323,0.0000,0.0000,0.6039,0.0000,0.3397,0.1000,0.3516
the green dome flip,flip,blue Cone, ,green Dome,agent ,grey Cylinder, ,0.0000,0.3318,0.4948,0.0000,0.0000,0.8307,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.2998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7384,0.0000,0.0335,0.0000,0.0000,0.0838,0.5873,0.0000,0.0193,0.9857,0.0797,0.0000,0.7855,0.0000,0.0000,0.7047,0.0000,0.1000,0.8066,0.1000
the yellow sphere flip,flip,red Dome, ,yellow Sphere,agent ,white Cube, ,0.0000,0.7432,0.4974,0.0000,0.0000,0.2577,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0248,0.4085,0.6954,0.0000,0.5048,0.0000,0.2154,0.0000,0.0782,0.9793,0.0213,0.0000,0.7848,0.0000,0.0000,0.7433,0.0000,0.1000,0.7981,0.1000
the yellow sphere hop,hop,yellow Sphere,agent ,white Cone, ,green Dome, ,0.0000,0.8419,0.5066,0.0000,0.0000,0.4968,0.0000,0.0000,0.0000,0.0000,0.0971,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8544,0.0000,0.0000,0.0000,0.0000,0.5244,0.2860,0.0000,0.9915,0.0785,0.0208,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
the blue tower spin,spin,yellow Cylinder, ,blue Tower,agent ,grey Dome, ,0.0000,0.1981,0.5028,0.0000,0.0000,0.6952,0.0000,0.0000,0.0000,0.0000,0.0000,0.2998,0.2994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2429,0.0000,0.0136,0.0000,0.0030,0.0200,0.2534,0.0000,0.0199,0.0197,0.0807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.9709,0.1000
the white cube spin,spin,white Cube,agent ,red Sphere, ,grey Dome, ,0.0000,0.6999,0.1875,0.0000,0.0000,0.4875,0.0000,0.0000,0.0000,0.0000,0.1019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3302,0.3195,0.0000,0.0000,0.3131,0.0000,0.0000,0.0000,0.0183,0.0783,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9906,0.1000,0.1000
the yellow dome throw the red cone to the green tower,throw,red Cone,theme ,green Tower,recipient ,yellow Dome,agent ,0.0000,0.9150,0.4992,0.0000,0.0000,0.4390,0.0000,0.0000,0.0000,0.0000,0.0000,0.7668,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7952,0.9410,0.8182,0.0000,0.9988,0.0000,0.3878,0.0000,0.9955,0.0194,0.9480,0.6323,0.0000,0.0000,0.6039,0.0000,0.0000,0.1000,0.3356,0.3334
the blue dome give the green cube to the grey tower,give,blue Dome,agent ,grey Tower,recipient ,green Cube,theme ,0.0000,0.8023,0.7664,0.0000,0.0000,0.9150,0.0000,0.0000,0.0000,0.0000,0.9657,1.0000,0.9932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0354,0.1780,1.0000,0.0000,0.7948,0.7862,0.7952,0.0000,0.9745,0.9513,0.9962,0.0000,0.0000,0.0687,0.0000,0.0000,0.0000,0.3622,0.3541,0.1000
the yellow cone flip,flip,yellow Cone,agent ,grey Cube, ,blue Tower, ,0.0000,0.2441,0.7285,0.0000,0.0000,0.4870,0.0000,0.0000,0.0000,0.0000,0.2991,0.0933,0.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2915,0.0527,0.2009,0.0000,0.0000,0.0000,0.4158,0.0000,0.9857,0.0181,0.0793,0.7855,0.0000,0.0000,0.7047,0.0000,0.0000,0.8486,0.1000,0.1000
the grey cube roll the red cylinder,roll,red Cylinder,theme ,grey Cube,agent ,yellow Cone, ,0.0000,0.4466,0.7555,0.0000,0.0000,0.3952,0.0000,0.0000,0.0000,0.0000,0.9202,0.2991,0.9416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7310,0.9988,0.5049,0.0000,0.2670,0.0000,0.9945,0.0000,0.9968,0.9083,0.0203,0.3757,0.0000,0.0000,0.3859,0.0000,0.0000,0.8793,0.3423,0.1000
the yellow cylinder give the red cone to the green dome,give,red Cone,theme ,green Dome,recipient ,yellow Cylinder,agent ,0.0000,0.9150,0.7734,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.9858,0.7925,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7952,0.7732,0.7980,0.0000,0.9997,0.5125,0.0000,0.0000,0.9964,0.8994,0.9814,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.3453,0.3450
the white cylinder flip,flip,white Cylinder,agent ,grey Cone, ,blue Dome, ,0.0000,0.7800,0.2870,0.0000,0.0000,0.4978,0.0000,0.0000,0.0000,0.0000,0.1050,0.2990,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3477,0.0000,0.0000,0.5013,0.1597,0.0000,0.9793,0.0798,0.0197,0.7848,0.0000,0.0000,0.7433,0.0000,0.0000,0.8355,0.1000,0.1000
the blue cube throw the yellow tower to the green sphere,throw,yellow Tower,theme ,blue Cube,agent ,green Sphere,recipient ,0.0000,0.4592,0.9150,0.0000,0.0000,0.4377,0.0000,0.0000,0.0000,0.0000,0.7685,0.0000,0.6233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9143,0.7952,0.0412,0.0000,0.0219,0.8197,0.9981,0.0000,0.9961,0.9484,0.0201,0.6323,0.0000,0.0000,0.6039,0.0000,0.0000,0.1000,0.3473,0.3312
the green sphere kick the white dome to the blue tower,kick,blue Tower,recipient ,green Sphere,agent ,white Dome,theme ,0.0000,0.4005,0.9142,0.0000,0.0000,0.4863,0.0000,0.0000,0.0000,0.0000,0.9322,1.0000,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9859,0.2492,0.9972,0.0000,0.0000,0.9980,0.9867,0.0000,0.0215,0.9072,0.9750,0.0000,0.0000,0.6083,0.0000,0.0000,0.5707,0.3408,0.3557,0.1000
the grey cylinder hop,hop,grey Cylinder,agent ,red Cone, ,white Dome, ,0.0000,0.7307,0.2513,0.0000,0.0000,0.4889,0.0000,0.0000,0.0000,0.0000,0.0985,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1942,0.1099,0.0000,0.9841,0.0793,0.0185,0.6083,0.0000,0.0000,0.6052,0.0000,0.0000,0.1000,0.1000,0.1000
the white cube kick the red cone to the green dome,kick,red Cone,theme ,white Cube,agent ,green Dome,recipient ,0.0000,0.4814,0.9157,0.0000,0.0000,0.3972,0.0000,0.0000,0.0000,0.0000,0.9202,0.2993,0.6256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9819,0.9989,0.0000,0.0000,0.9962,0.2111,0.9811,0.0000,0.9750,0.9081,0.0211,0.6083,0.0000,0.0000,0.5707,0.0000,0.0000,0.1000,0.3398,0.3523
the blue cone hop,hop,yellow Cylinder, ,red Sphere, ,blue Cone,agent ,0.0000,0.4980,0.1108,0.0000,0.0000,0.5213,0.0000,0.0000,0.0000,0.0000,0.2994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2050,0.0000,0.0000,0.0000,0.0000,0.0653,0.3496,0.0000,0.0209,0.0787,0.9915,0.0000,0.0000,0.8203,0.0000,0.0000,0.8162,0.1000,0.1000,0.1000
the red cylinder flip,flip,red Cylinder,agent ,yellow Sphere, ,white Tower, ,0.0000,0.8191,0.3207,0.0000,0.0000,0.5009,0.0000,0.0000,0.0000,0.0000,0.1052,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9097,0.0000,0.0000,0.9558,0.1872,0.0000,0.9793,0.0802,0.0200,0.7848,0.0000,0.0000,0.7433,0.0000,0.0000,0.8672,0.1000,0.1000
the green sphere hop,hop,white Cylinder, ,green Sphere,agent ,yellow Cube, ,0.0000,0.8901,0.4849,0.0000,0.0000,0.5256,0.0000,0.0000,0.0000,0.0000,0.2711,0.0000,0.1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2690,0.6760,0.0000,0.0787,0.9915,0.0183,0.0000,0.8203,0.0000,0.0000,0.8162,0.0000,0.1000,0.1000,0.1000
the white cone hop,hop,white Cone,agent ,yellow Cube, ,grey Tower, ,0.0000,0.3836,-0.0882,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0956,0.2998,0.5684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3078,0.0000,0.9915,0.0808,0.0192,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
the white cube roll the red dome to the grey cone,roll,white Cube,agent ,red Dome,theme ,grey Cone,recipient ,0.0000,0.4463,0.3898,0.0000,0.0000,0.8781,0.0000,0.0000,0.0000,0.0000,0.7939,1.0000,0.9419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1788,0.9920,0.8647,0.0000,0.3657,0.9797,0.5624,0.0000,0.9287,0.9929,0.4767,0.0000,0.3734,0.0000,0.0000,0.3859,0.0000,0.3436,0.8656,0.3298
the blue cone hop,hop,blue Cone,agent ,green Dome, ,grey Sphere, ,0.0000,0.1679,0.5511,0.0000,0.0000,0.5120,0.0000,0.0000,0.0000,0.0000,0.2998,0.1019,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0467,0.3647,0.0000,0.0000,0.2438,0.0000,0.0000,0.0000,0.9915,0.0217,0.0807,0.8203,0.0000,0.0000,0.8162,0.0000,0.0000,0.1000,0.1000,0.1000
